                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.2605,                 1.4222,                 1.4016,                0.67493,                0.51699,                0.59723,                0.39973,                 1.2568,                 1.2548,                 1.3748,               0.005248,               0.005248,               0.005248
                     50,                 1.2565,                  1.425,                 1.3962,                0.67329,                0.52255,                0.59654,                0.40029,                  1.255,                  1.251,                 1.3738,               0.005149,               0.005149,               0.005149
                     51,                 1.2463,                 1.4137,                 1.3923,                0.67667,                0.52178,                0.59752,                0.40095,                  1.251,                 1.2464,                  1.371,                0.00505,                0.00505,                0.00505
                     52,                 1.2557,                 1.4115,                   1.39,                0.67845,                0.52209,                0.59652,                0.40219,                   1.25,                 1.2434,                 1.3678,               0.004951,               0.004951,               0.004951
                     53,                 1.2506,                 1.4068,                 1.3902,                0.67978,                0.52598,                0.59962,                0.40341,                 1.2488,                 1.2387,                 1.3658,               0.004852,               0.004852,               0.004852
                     54,                 1.2451,                 1.3898,                 1.3827,                0.68485,                0.52534,                0.60265,                0.40597,                 1.2478,                 1.2342,                 1.3646,               0.004753,               0.004753,               0.004753
                     55,                 1.2423,                 1.3895,                 1.3833,                0.68361,                0.52854,                0.60506,                 0.4083,                 1.2461,                 1.2325,                 1.3641,               0.004654,               0.004654,               0.004654
                     56,                 1.2372,                 1.3871,                 1.3818,                0.68479,                0.53029,                0.60538,                0.40911,                 1.2434,                 1.2289,                  1.361,               0.004555,               0.004555,               0.004555
                     57,                 1.2304,                 1.3766,                 1.3747,                0.68838,                0.52866,                0.60637,                0.41081,                 1.2409,                 1.2254,                 1.3576,               0.004456,               0.004456,               0.004456
                     58,                 1.2283,                 1.3679,                 1.3723,                0.69129,                0.52895,                0.60719,                0.41182,                 1.2391,                 1.2218,                 1.3566,               0.004357,               0.004357,               0.004357
                     59,                 1.2285,                 1.3773,                 1.3722,                0.67567,                0.53976,                0.60822,                0.41278,                 1.2372,                 1.2194,                  1.355,               0.004258,               0.004258,               0.004258
                     60,                 1.2252,                 1.3598,                 1.3685,                0.67779,                0.53669,                0.60751,                0.41208,                  1.235,                  1.218,                  1.353,               0.004159,               0.004159,               0.004159
                     61,                 1.2233,                 1.3603,                 1.3639,                0.67449,                0.53767,                0.60861,                0.41386,                 1.2332,                 1.2152,                 1.3514,                0.00406,                0.00406,                0.00406
                     62,                 1.2211,                 1.3624,                 1.3657,                0.67505,                0.54084,                0.60984,                0.41441,                 1.2328,                 1.2146,                 1.3504,               0.003961,               0.003961,               0.003961
                     63,                  1.218,                 1.3483,                 1.3607,                0.67603,                0.53834,                0.60995,                0.41497,                 1.2325,                 1.2133,                 1.3493,               0.003862,               0.003862,               0.003862
                     64,                 1.2126,                   1.34,                 1.3569,                0.68054,                0.53973,                0.61081,                0.41557,                 1.2314,                 1.2115,                 1.3477,               0.003763,               0.003763,               0.003763
                     65,                 1.2107,                  1.332,                 1.3549,                0.67773,                0.54398,                0.61199,                0.41576,                 1.2306,                 1.2097,                 1.3462,               0.003664,               0.003664,               0.003664
                     66,                 1.2085,                 1.3379,                 1.3559,                 0.6824,                0.54323,                0.61314,                0.41707,                   1.23,                 1.2076,                 1.3457,               0.003565,               0.003565,               0.003565
                     67,                 1.2063,                 1.3288,                 1.3517,                0.68523,                0.54134,                0.61387,                 0.4174,                 1.2287,                 1.2049,                 1.3446,               0.003466,               0.003466,               0.003466
                     68,                 1.2038,                 1.3197,                 1.3534,                0.68695,                0.54071,                0.61508,                0.41795,                  1.228,                 1.2032,                 1.3444,               0.003367,               0.003367,               0.003367
